,word,frequency
770,maki,282
1210,parusan,282
446,misan,280
1405,bisang,280
1155,tinape,279
54,lalam,279
1602,idala,277
2307,mismu,276
516,tolda,276
18158,cu,275
92,kareti,272
2415,kakaluguran,270
568,apulung,269
2019,abalitan,269
342,minie,268
550,dinalan,268
500,sakup,268
18352,dapot,265
993,bandi,265
696,matas,265
454,nukarin,265
1490,mikasala,264
1512,libung,264
64,miyayaliwang,263
1055,kapatagan,263
640,makapadurut,262
908,mas,261
143,lawan,261
564,labing,261
2395,paralan,260
221,masanting,260
10459,kasalpantayanan,259
2550,lalu,259
34,inaus,259
1633,abe,257
305,yan,257
1315,bitis,255
1277,dayuan,253
1031,kuanan,252
1362,ali,251
385,mibalik,251
3743,josue,249
1212,kapayapan,249
709,ditak,248
178,marangle,248
8254,sulat,248
797,ubas,247
18506,dimas,246
1108,disyerto,246
1920,lubus,246
1267,ausan,245
1299,likuan,244
7405,jonatan,244
2368,tinggap,242
16791,pablo,241
479,niting,241
15303,judas,240
1972,buak,238
7104,paganu,238
766,kekong,237
1279,wa,236
876,filisteo,236
3826,idolo,235
253,dili,233
662,darapat,232
242,mangan,232
1653,bangke,230
1293,keting,230
3449,mangmang,229
8169,solomon,228
2671,pamikasala,228
1739,ikua,226
1056,jordan,226
3145,bitasang,226
1582,tanggapan,224
3589,dangalan,222
15300,juan,221
621,ustu,220
1294,aduan,219
3516,tuntunan,219
2718,biasa,219
1020,palasyu,219
3453,kasiran,218
15883,pedro,218
3224,sakripisyu,218
1600,dutung,215
4042,kasulatan,215
1613,munie,215
2037,karetang,215
384,magbalik,214
18520,oscar,214
1032,mako,213
1704,saupan,212
2459,miyain,211
28,sala,210
1318,keni,208
1000,pepakit,207
1269,tuparan,207
2214,kekaming,207
489,manakit,206
390,ginawa,205
302,ni,205
674,linub,204
2220,kikilalanan,204
3901,miyabie,204
248,bunga,203
271,laman,203
22,angin,203
1503,ming,203
591,paintulut,202
3724,kaban,202
1797,kaming,201
444,meng,201
593,mie,201
2422,espada,201
670,tuknang,201
1023,kambing,201
113,ikayung,200
530,kayanakan,199
1596,iyain,198
1597,durulukan,198
745,linual,197
436,lupa,196
316,nia,195
276,sangkan,195
2641,katamu,195
1435,bundukan,194
3458,mag,194
3218,tinubud,193
5423,bayung,192
1231,pota,192
807,linapit,192
2869,lunus,192
102,ayup,191
1984,akilala,191
1495,manalangin,190
336,waring,190
691,lalung,189
277,lakuan,189
616,atlu,189
2928,kaburian,189
3020,kabayu,188
524,gawa,188
5752,ikong,186
2325,yeng,186
1035,norti,185
1255,kayang,185
1899,katuliran,185
983,kamaganak,185
2302,kampu,183
1443,miligtas,183
6047,ligaya,182
756,gagawan,181
41,abak,181
1263,mamintu,181
1369,mapalyari,181
9531,simon,181
1474,moab,181
244,subali,180
368,sakit,179
821,ri,179
3069,kayupayan,179
1553,buring,177
1996,labis,177
4672,pamag,177
7612,baket,176
237,ingatan,176
3803,angganan,176
1244,mabagsik,175
499,menuknangan,175
1781,katungkulan,174
2016,milako,174
491,makamate,174
333,tatakut,173
3252,levita,173
225,batung,172
1042,magobra,171
3970,olibo,170
2313,katapatan,170
1777,pamintuan,170
4124,mismung,169
311,kanan,168
1658,gamitan,168
1696,pung,168
2465,benjamin,168
1090,reting,167
1024,asno,167
525,kasangkapan,167
1305,makatalakad,167
2230,balamu,167
3113,reng,167
1022,kabilian,166
2148,muli,166
1008,mauli,165
1594,pakamalan,164
425,pangane,164
634,talampakan,164
2564,panintunan,164
1381,tinalakad,163
2333,peparala,163
134,heganaganang,163
95,binili,163
3241,maniwala,163
2322,toro,162
1247,kinutang,162
1413,ilako,162
2468,kutkutan,161
780,pangaku,161
3717,sabbath,161
3382,depatan,161
604,isip,161
5659,kuta,160
597,reti,160
1191,tanggap,160
7536,samuel,160
2693,obra,159
1701,nanuman,159
2737,binutil,159
771,pakibatan,158
2820,aintindian,158
18484,qng,158
1164,tagumpe,158
43,mumunang,158
1888,toldang,158
1736,bisa,158
138,bendisyunan,157
1009,danup,157
2,lelangan,157
8896,eliseo,156
2009,mangaintulid,156
555,mibait,155
1692,ibili,155
1309,makamal,155
2423,lihim,155
2745,mitubud,155
570,apulu,154
2591,biserung,154
963,milabas,154
2057,agyamang,154
1233,banuang,154
3064,leon,153
2434,lusuban,153
8001,joab,153
4426,keyang,153
1060,menatili,153
243,isanu,152
394,oyni,152
1015,masalese,152
1719,kaluguran,152
2301,tubud,152
1698,tuki,151
1003,albugan,151
984,pibalebale,151
7268,siria,151
3641,kapurian,151
232,asiria,150
56,mitipun,150
1237,panginuan,150
417,saup,150
3260,kakalinguan,150
1136,makilaban,150
3630,linigtas,149
5116,layun,149
803,lual,148
205,beluan,148
743,mong,148
666,antimu,148
2866,salapi,147
1344,matua,147
260,nanung,147
651,magdala,147
1776,parati,147
16488,juana,147
140,mamahala,146
256,karapatdapat,146
151,mabibie,146
1358,ituru,146
1352,mitakutan,146
1676,kabalen,146
1053,wanan,145
2232,gera,145
1095,mig,145
195,mibili,145
434,mimua,144
1291,isaac,144
3471,tronu,144
1868,panalangin,144
86,sulu,144
1058,silaban,144
1005,menalangin,143
787,biga,143
653,paintulutan,142
10568,makasalanan,141
15841,jesu,141
1660,asabi,141
669,uran,141
1540,inuman,140
247,mamangan,139
1301,labi,139
601,pikabaluan,139
2800,gobernador,138
1559,marangal,138
572,mibiebie,137
929,amanung,137
429,diling,137
3032,matula,137
2870,makasadia,136
7791,marawak,136
2785,manase,136
3956,kalulu,136
1452,menakit,135
3824,larawan,135
2420,masakit,135
600,minunang,135
20,tutung,135
2226,gilead,135
2602,guardia,135
4078,insenso,134
6438,kapanayan,134
4075,larung,134
1558,talakad,134
3166,megawa,134
3506,piesta,134
779,ini,134
618,mitmu,134
1747,gintung,134
612,makatuliran,133
16049,iglesia,133
8158,zion,133
1903,kabilugan,133
5722,kaguluan,133
982,apu,132
55,kaduang,132
8854,elias,131
10114,mordecai,131
1099,simbut,131
1731,galang,131
3465,ganap,130
1872,pakibat,130
3742,lisuban,130
2448,susulud,130
681,kalabing,130
1380,minuli,130
526,tangsu,130
1721,maniawad,129
433,darala,129
1045,miyabe,129
196,mulahan,129
971,minuna,129
334,kitang,128
1038,sese,128
1898,edom,128
1468,kabukasan,127
556,mebie,127
1450,asias,126
2833,salu,126
798,minum,126
392,balat,126
18505,cang,125
1753,keta,125
2205,ngang,125
80,tanda,124
439,tumula,124
1726,magdalang,123
251,mengan,122
176,dikut,122
46,pilatan,122
2674,tinakas,122
1302,makalukluk,122
557,walung,121
1370,ukum,121
1151,pamakilaban,121
1979,lumapit,121
4047,libru,120
5646,kekeng,120
1213,masaya,120
3290,sasabi,120
222,munamang,120
1139,grupu,120
1367,mabayat,120
9328,nebucadenesar,120
18486,qnig,120
981,tiki,119
4041,siwala,119
214,mumuna,119
29,linto,118
465,asbuk,118
8797,samaria,118
527,bakal,118
4056,sinulat,118
1036,mabandi,118
2095,sumuyu,118
2310,katau,117
267,matudtud,117
7543,ng,117
1180,ulaga,117
1442,agyu,117
1673,daramdaman,117
15949,apostol,117
1690,antimong,116
1375,pamagsalita,116
77,katlung,116
660,lungub,116
575,bigla,116
1364,lasakan,116
794,canaan,116
2787,efraim,115
2426,akua,115
1063,siping,115
346,kanyan,115
6014,tuturu,115
1603,marayu,115
1493,ibalik,115
18077,caring,114
70,butul,114
10374,haman,114
380,gubat,114
658,tiparan,114
6734,judea,114
2795,ken,114
1973,batal,114
3808,trumpeta,113
9448,daniel,113
1159,kakataskatasan,113
7388,talaturu,113
19044,quintina,112
2891,kuartu,112
1850,makasulat,112
18313,cung,112
625,barku,112
738,leko,112
1799,regalu,112
1327,bala,111
3584,baal,111
1875,kadua,111
624,gisanan,111
2598,kalungkutan,110
94,batuin,110
6471,turu,110
566,pitu,110
8847,ahab,110
4207,patyu,110
931,manintun,110
1465,pintalan,109
3285,kalaraman,109
18173,ca,109
2256,ustung,109
1177,vision,109
3574,migkampu,109
2825,salaping,109
1133,tinipun,109
1606,samba,109
2366,malugud,108
1537,tukian,108
3601,sundalung,108
8114,absalom,108
1386,bukas,107
3306,panga,107
1365,patawaran,107
2187,maina,107
2941,memintu,107
7091,mensahi,107
1240,ipakit,107
2038,mayupayang,107
431,daralan,107
3931,atulan,107
545,pamanyamba,106
5245,miyugse,105
1751,kenu,105
1487,kapagnasan,105
7129,magkanta,105
471,pupul,105
7154,reyna,104
2123,inawad,104
1161,mananu,104
1216,kayapan,104
559,siam,104
3677,pamibiebie,104
781,pasibayung,103
5912,galilea,103
4483,pengari,103
494,besis,103
723,migbalik,103
4690,kapamayaran,103
6198,hustisia,102
14319,tobias,102
1626,kasing,102
1037,talaga,102
987,bendisyun,102
890,magumpisa,101
3841,kaisipan,101
582,lima,101
331,kitnan,101
231,banda,101
587,megumpisa,101
104,asan,100
162,kapitung,100
3217,samban,100
4457,dinapat,100
504,telakad,100
3843,makananung,100
4190,linalang,100
560,ralan,100
15868,pariseo,100
1881,esau,100
749,mitalakad,100
1311,ining,99
2935,patugut,99
18073,tolentino,99
523,biasang,99
1372,magsalitang,99
790,ganakan,99
2257,tikian,98
3470,dumalan,98
93,malati,98
2146,kamarinayan,98
1198,tulid,98
1939,masala,98
1426,sulung,98
1578,pabanua,97
2621,mebalu,97
416,mikayanak,97
2231,bihag,96
774,peka,96
3096,sumaup,96
1028,pepayaus,96
802,belita,96
4877,malalam,96
1271,kawakasan,95
577,sumpa,95
2023,kalinguan,94
10581,bagyu,94
185,sibul,94
3220,tipunan,94
4461,marayung,94
211,sanga,94
2848,ulit,94
706,tinuknang,93
312,pagnasan,93
9230,manalig,93
2115,makalunus,93
421,pastul,93
1266,tatang,92
3094,matatag,92
1811,tinuki,92
637,katas,92
2758,upayang,92
2192,sadia,92
2690,maganaka,91
3333,eleazar,91
201,lalawan,91
18873,cayang,91
775,pamakamate,91
1563,pepaburen,91
1170,kuma,91
1187,arapat,90
741,lumual,90
4577,pepagawa,90
635,kaba,90
3986,pakakalulu,90
2262,apate,90
997,sagradung,89
1044,pipagpastulan,89
1286,sarah,89
190,alikabuk,89
4045,kapitna,89
2936,manangis,89
2689,sukulan,89
9306,demonyu,89
1324,paniatang,89
6030,kaligaligan,89
6155,malunus,88
1579,tua,88
3085,tulisan,88
4753,malating,88
18381,buac,88
3095,matibe,88
406,milalablab,87
995,karas,87
2103,ugali,87
441,manaya,87
4368,buis,87
7048,pakakabayu,87
16404,grasya,87
186,manibatan,87
880,amoreo,86
2011,trigu,86
7990,pamisip,86
14585,talasalpantaya,86
2305,pasabi,86
3256,mangari,86
18978,saca,86
1508,dirinan,86
324,damdaman,86
1614,tiru,86
1281,mayakit,86
1760,mepalyari,85
2851,kutang,85
18072,aurelio,85
6077,pasalamatan,85
2806,paniwalan,85
9185,hezekia,85
2028,parehu,84
2273,kayatulan,84
3852,malaya,84
18379,que,84
1424,dugpa,84
3668,propetang,84
2646,kaninu,84
15284,antiocus,84
5718,mapalad,83
15967,krus,83
1772,heganagana,83
7550,karalumduman,83
954,puntalan,83
1096,rebeldi,83
595,deta,83
4315,mipatawaran,83
6507,payu,82
667,manatiling,82
1580,kawan,82
3347,masias,82
2835,ping,82
5005,bulag,82
5320,mingat,82
4296,paring,82
6697,bet,82
1239,insultuan,81
480,parusa,81
4067,linen,81
2118,levi,81
2113,susuyu,81
1385,maranun,81
3594,panggera,81
402,penibatan,81
1717,lakad,81
2896,lamesa,81
1954,judith,81
1716,magtagumpe,81
2026,mawala,81
3202,daralanan,81
2909,gagamitan,81
445,sambutan,81
1702,parala,80
2129,gad,80
4108,suluk,80
1174,ginamit,80
169,istoria,80
543,minaus,80
4436,kulisak,80
8767,jeroboam,80
280,makiabe,80
290,ubingan,80
679,kalabas,80
5681,balaam,79
10445,job,79
4986,pangatau,79
3827,sasamba,79
1820,lungkut,79
3209,lalapit,78
725,liwal,78
98,lunto,78
4180,italakad,78
2079,takap,78
1069,sakaling,78
5232,siran,78
4012,taba,78
3455,parangalan,78
452,lepitan,78
1393,lebadura,78
3423,salut,78
3801,magsadia,78
3143,mabilis,78
5428,makibalu,78
839,sariling,78
7723,gagalgal,78
314,kinangwa,78
152,linawe,78
3295,mirinan,77
1628,pampang,77
118,malyap,77
3856,balugbug,77
5540,milagru,77
2068,panganib,77
2270,delanan,77
1134,walu,76
1141,kabengian,76
1961,paslu,76
8443,kaligtasan,76
6421,mibagsak,76
448,tara,76
2824,lulanan,76
292,mengutang,76
1722,dalaga,76
1074,hebron,76
3482,mesabing,76
4733,kapasalamatan,76
3636,kanta,76
1763,sidia,76
6172,magsaya,76
1016,panakit,76
602,mikalat,76
2064,laru,75
2055,pagkeran,75
15,dalumdum,75
2566,pisasabian,75
8015,probinsia,75
18749,babayi,75
553,ayanak,75
2286,saksi,75
2015,lumaban,75
1211,katataulian,75
3203,lipat,75
8837,jehu,75
589,malagu,74
107,binendisyunan,74
3952,siguradu,74
1665,mikutkut,74
3823,gagawang,74
2021,babala,74
2439,magtinda,74
18654,luis,74
7533,pilubluban,74
2040,nitang,73
6029,kaladua,73
400,tinabi,73
1290,luguran,73
16181,pilato,73
3569,dalanan,73
3599,kasalukuyan,73
404,kerubin,73
648,pero,73
3271,meniwala,73
2579,linukluk,72
608,malungkut,72
202,maniaman,72
1598,mibangun,72
2005,kinulisak,72
4381,gawang,72
2410,ikami,72
3596,karung,72
1914,sasakupan,72
1437,utang,71
135,melalang,71
11882,maestro,71
3886,sugat,71
5033,kagalangan,71
1612,tupang,71
804,balabal,71
3654,kabanalan,71
1002,betel,71
3762,pamisulusulu,71
1176,migsalitang,71
3438,tatanggapan,71
4435,kukulisak,70
661,ituki,70
7615,nong,70
1138,dan,70
18851,figana,70
450,kata,70
18282,co,70
3499,pagselebran,70
5678,jerico,70
14478,holofernes,70
769,karni,70
224,mal,70
1342,pala,70
5517,bulubundukan,70
1483,abimelek,69
1232,pekiramdaman,69
1630,matupad,69
3244,dila,69
3009,digpa,69
4384,miembru,69
4181,tabing,69
7160,gideon,69
18885,figanang,68
1908,malambat,68
24,danuman,68
999,sikem,68
97,kapat,68
1679,bayaran,68
3342,makapagmulalang,68
1865,baryu,68
4638,judiong,68
2432,pepasari,68
3229,kasiping,68
495,miparusan,68
852,matapang,68
6493,talapagligtas,68
4019,sasamban,68
3314,pamilyang,68
5621,abihag,67
2314,tukud,67
2032,makiasawa,67
4694,marinat,67
8928,malaram,67
708,tunggal,67
4477,misulat,67
4970,ayunu,67
6134,melasak,67
3457,balak,67
3608,mamaus,67
2200,peintulut,67
4908,sedro,67
156,inari,67
6451,menibatan,66
3691,isadia,66
5657,sekupan,66
2324,muna,66
3987,ukuman,66
14823,sinagoga,66
2264,papakit,66
4313,dulukan,66
8460,palalu,66
5220,lumusub,66
3536,kekaban,66
1841,idad,66
5904,batis,65
2590,mekamate,65
5658,ammon,65
3084,panenayan,65
4774,kilalanan,65
5412,kapahamakan,65
2624,palub,65
1206,makatakut,65
4569,pawang,65
203,kakanan,65
1938,kasaman,65
2799,mekiabe,65
3208,makapagmulala,65
1253,saingsing,64
1046,maralas,64
5715,ula,64
2292,nasa,64
1902,pupunta,64
7221,ginulut,64
5461,espiritung,64
968,abram,64
408,magbante,64
2212,lumakad,64
1343,kagulutan,64
1720,lulual,64
3031,pasalamat,64
4102,pakpak,64
4472,kamalan,63
574,mewala,63
7769,abner,63
1514,patutu,63
1454,lesak,63
403,bandang,63
