,word,frequency,probability
164,gewa,631,0.0007334198869533785
2355,israelita,630,0.0007322575733448945
793,keti,629,0.0007310952597364105
1339,datang,620,0.0007206344372600549
470,ibie,617,0.000717147496434603
443,pasbul,609,0.0007078489875667314
1097,laban,603,0.0007008751059158275
816,ipus,601,0.0006985504786988597
115,nita,597,0.0006939012242649238
175,mang,596,0.0006927389106564398
339,babaing,591,0.0006869273426140201
611,pamilya,590,0.0006857650290055361
614,ketang,587,0.0006822780881800842
210,apat,578,0.0006718172657037286
145,babie,575,0.0006683303248782767
1521,agyang,574,0.0006671680112697927
40,dinatang,573,0.0006660056976613088
451,minta,571,0.0006636810704443408
65,tanaman,564,0.0006555448751849531
607,pati,561,0.0006520579343595013
2492,tribu,554,0.0006439217391001136
455,mekibat,553,0.0006427594254916296
551,atlung,553,0.0006427594254916296
391,imalan,550,0.0006392724846661777
860,deti,550,0.0006392724846661777
1230,kanakung,550,0.0006392724846661777
317,rin,550,0.0006392724846661777
498,arapan,549,0.0006381101710576937
795,deting,548,0.0006369478574492098
159,dapat,545,0.0006334609166237579
475,malyaring,543,0.00063113628940679
1066,migsalita,542,0.000629973975798306
10030,judio,542,0.000629973975798306
1280,detang,542,0.000629973975798306
502,dane,536,0.0006230000941474023
352,kaniti,530,0.0006160262124964986
487,paten,530,0.0006160262124964986
991,pibandian,530,0.0006160262124964986
2193,makatua,529,0.0006148638988880146
53,danum,527,0.0006125392716710466
812,re,527,0.0006125392716710466
633,gawan,526,0.0006113769580625627
372,upaya,526,0.0006113769580625627
1592,pu,523,0.0006078900172371109
750,altar,522,0.0006067277036286269
1624,amanu,520,0.0006044030764116589
1059,pinili,520,0.0006044030764116589
299,keng,518,0.000602078449194691
483,akit,516,0.000599753821977723
533,pulu,515,0.0005985915083692392
457,wari,514,0.0005974291947607552
427,tupa,514,0.0005974291947607552
128,ta,514,0.0005974291947607552
767,makananu,513,0.0005962668811522712
149,pamangan,513,0.0005962668811522712
335,ninu,512,0.0005951045675437873
2070,anting,510,0.0005927799403268193
1243,nanumang,509,0.0005916176267183353
240,malyari,503,0.0005846437450674316
856,kayarian,501,0.0005823191178504637
3000,keya,501,0.0005823191178504637
52,niti,500,0.0005811568042419798
313,kabiasnan,491,0.0005706959817656241
325,deng,490,0.0005695336681571402
26,mika,485,0.0005637221001147203
563,limang,484,0.0005625597865062364
1569,manatili,480,0.0005579105320723006
437,mua,480,0.0005579105320723006
534,pitung,478,0.0005555859048553326
1497,pamuntuk,478,0.0005555859048553326
283,adua,476,0.0005532612776383648
377,ba,473,0.0005497743368129128
819,sa,469,0.000545125082378977
1494,propeta,466,0.0005416381415535251
488,ninumang,462,0.0005369888871195893
10350,ester,460,0.0005346642599026214
153,tune,458,0.0005323396326856535
748,agpang,456,0.0005300150054686855
18125,gloria,455,0.0005288526918602015
328,dake,452,0.0005253657510347497
486,tuknangan,451,0.0005242034374262658
2114,ruben,451,0.0005242034374262658
285,katawan,450,0.0005230411238177818
100,mabie,450,0.0005230411238177818
293,tutu,449,0.0005218788102092978
453,pete,445,0.000517229555775362
361,buntuk,444,0.0005160672421668781
1502,kekami,443,0.0005149049285583941
62,dagat,442,0.0005137426149499101
497,meko,440,0.0005114179877329422
943,ngara,440,0.0005114179877329422
1272,munaman,437,0.0005079310469074902
1802,mapilan,434,0.0005044441060820384
941,batu,433,0.0005032817924735545
583,di,428,0.0004974702244311347
116,paburen,425,0.0004939832836056828
2417,rang,425,0.0004939832836056828
2929,kamatayan,425,0.0004939832836056828
1262,mayupaya,420,0.00048817171556326297
1874,kesa,414,0.00048119783391235924
2764,espiritu,412,0.0004788732066953913
855,sanang,411,0.00047771089308690733
18702,gerardo,409,0.0004753862658699394
449,munta,408,0.00047422395226145547
2558,manimuna,408,0.00047422395226145547
2531,saul,407,0.00047306163865297153
1341,makiramdam,406,0.00047189932504448754
552,pulung,403,0.0004684123842190357
21,masikan,402,0.0004672500706105517
332,dimdam,402,0.0004672500706105517
678,utus,399,0.00046376312978509983
338,mo,398,0.0004626008161766159
561,bayu,392,0.0004556269345257121
610,lugud,391,0.0004544646209172282
628,dinan,389,0.00045213999370026026
1313,talasuyu,388,0.0004509776800917763
659,inutus,388,0.0004509776800917763
1349,tula,385,0.0004474907392663244
294,pin,384,0.0004463284256578404
857,babilonia,384,0.0004463284256578404
1570,tapat,376,0.0004370299167899688
1245,anghel,374,0.00043470528957300085
758,pusu,371,0.000431218348747549
1348,kaya,370,0.000430056035139065
937,tamung,369,0.00042889372153058107
220,gintu,367,0.00042656909431361314
207,ilug,366,0.00042540678070512915
204,libutad,366,0.00042540678070512915
3251,aaron,365,0.0004242444670966452
1883,jacob,364,0.0004230821534881613
649,kasunduan,364,0.0004230821534881613
2059,takut,364,0.0004230821534881613
442,lele,354,0.00041145901740332165
3222,daraptan,353,0.0004102967037948377
573,malapit,353,0.0004102967037948377
663,matulid,352,0.00040913439018635373
1040,pilak,351,0.0004079720765778698
682,bulan,348,0.0004044851357524179
259,dela,348,0.0004044851357524179
1741,mitmung,347,0.00040332282214393394
2259,kekatamung,344,0.0003998358813184821
1254,magsalita,343,0.0003986735677099981
617,akakit,342,0.00039751125410151416
772,ninuman,342,0.00039751125410151416
310,abalu,342,0.00039751125410151416
1713,oras,341,0.00039634894049303017
838,bansang,341,0.00039634894049303017
1124,saka,340,0.00039518662688454623
2556,arap,340,0.00039518662688454623
459,ko,339,0.00039402431327606224
1270,daratang,339,0.00039402431327606224
18392,qfig,335,0.00038937505884212645
167,aldong,334,0.00038821274523364246
309,mata,334,0.00038821274523364246
264,dininan,331,0.0003847258044081906
282,ilang,329,0.00038240117719122267
792,anggang,327,0.00038007654997425475
1816,kekatamu,326,0.0003789142363657708
23,babo,325,0.0003777519227572868
363,no,323,0.0003754272955403189
3616,pader,323,0.0003754272955403189
1398,ikayu,322,0.00037426498193183496
12452,alagad,320,0.00037194035471486704
366,kasakitan,320,0.00037194035471486704
1117,labanan,320,0.00037194035471486704
665,malinis,319,0.0003707780411063831
817,purian,318,0.0003696157274978991
345,obat,317,0.0003684534138894152
1333,agad,317,0.0003684534138894152
350,bukud,313,0.0003638041594554793
1488,katutuan,313,0.0003638041594554793
279,ima,311,0.0003614795322385114
799,alak,309,0.0003591549050215435
944,ngening,309,0.0003591549050215435
934,ngarang,309,0.0003591549050215435
268,kinua,309,0.0003591549050215435
3531,libu,308,0.00035799259141305954
298,pekibat,306,0.0003556679641960916
38,bengi,306,0.0003556679641960916
51,milyari,305,0.0003545056505876076
160,anam,303,0.0003521810233706397
1432,iligtas,299,0.0003475317689367039
1916,kaniting,299,0.0003475317689367039
1268,abraham,297,0.000345207141719736
410,papunta,297,0.000345207141719736
2112,maygit,294,0.00034172020089428407
250,kabud,293,0.00034055788728580013
2388,pekapun,293,0.00034055788728580013
2762,opisyal,293,0.00034055788728580013
1320,sikanan,292,0.0003393955736773162
1608,api,292,0.0003393955736773162
3054,mengari,292,0.0003393955736773162
2560,kabaldugan,290,0.00033707094646034827
2274,kareting,290,0.00033707094646034827
1796,isipan,289,0.0003359086328518643
1951,balita,287,0.00033358400563489635
699,mitagan,287,0.00033358400563489635
88,aslagan,286,0.0003324216920264124
123,baka,285,0.00033125937841792843
529,pakiramdaman,285,0.00033125937841792843
2147,jose,285,0.00033125937841792843
1165,pengaku,285,0.00033125937841792843
3098,ibpa,285,0.00033125937841792843
461,daya,285,0.00033125937841792843
1033,tauan,284,0.0003300970648094445
770,maki,282,0.00032777243759247657
1210,parusan,282,0.00032777243759247657
446,misan,280,0.00032544781037550864
1405,bisang,280,0.00032544781037550864
1155,tinape,279,0.0003242854967670247
54,lalam,279,0.0003242854967670247
1602,idala,277,0.0003219608695500568
2307,mismu,276,0.0003207985559415728
516,tolda,276,0.0003207985559415728
18158,cu,275,0.00031963624233308886
92,kareti,272,0.000316149301507637
2415,kakaluguran,270,0.00031382467429066907
568,apulung,269,0.0003126623606821851
2019,abalitan,269,0.0003126623606821851
342,minie,268,0.00031150004707370115
550,dinalan,268,0.00031150004707370115
500,sakup,268,0.00031150004707370115
18352,dapot,265,0.0003080131062482493
993,bandi,265,0.0003080131062482493
696,matas,265,0.0003080131062482493
454,nukarin,265,0.0003080131062482493
1490,mikasala,264,0.0003068507926397653
1512,libung,264,0.0003068507926397653
64,miyayaliwang,263,0.00030568847903128136
1055,kapatagan,263,0.00030568847903128136
640,makapadurut,262,0.00030452616542279737
908,mas,261,0.00030336385181431344
143,lawan,261,0.00030336385181431344
564,labing,261,0.00030336385181431344
2395,paralan,260,0.00030220153820582945
221,masanting,260,0.00030220153820582945
10459,kasalpantayanan,259,0.0003010392245973455
2550,lalu,259,0.0003010392245973455
34,inaus,259,0.0003010392245973455
1633,abe,257,0.0002987145973803776
305,yan,257,0.0002987145973803776
1315,bitis,255,0.00029638997016340966
1277,dayuan,253,0.00029406534294644174
1031,kuanan,252,0.0002929030293379578
1362,ali,251,0.0002917407157294738
385,mibalik,251,0.0002917407157294738
3743,josue,249,0.0002894160885125059
1212,kapayapan,249,0.0002894160885125059
709,ditak,248,0.00028825377490402195
178,marangle,248,0.00028825377490402195
8254,sulat,248,0.00028825377490402195
797,ubas,247,0.000287091461295538
18506,dimas,246,0.000285929147687054
1108,disyerto,246,0.000285929147687054
1920,lubus,246,0.000285929147687054
1267,ausan,245,0.0002847668340785701
1299,likuan,244,0.0002836045204700861
7405,jonatan,244,0.0002836045204700861
2368,tinggap,242,0.0002812798932531182
16791,pablo,241,0.00028011757964463424
479,niting,241,0.00028011757964463424
15303,judas,240,0.0002789552660361503
1972,buak,238,0.0002766306388191824
7104,paganu,238,0.0002766306388191824
766,kekong,237,0.0002754683252106984
1279,wa,236,0.00027430601160221445
876,filisteo,236,0.00027430601160221445
3826,idolo,235,0.00027314369799373047
253,dili,233,0.00027081907077676254
662,darapat,232,0.0002696567571682786
242,mangan,232,0.0002696567571682786
1653,bangke,230,0.0002673321299513107
1293,keting,230,0.0002673321299513107
3449,mangmang,229,0.00026616981634282674
8169,solomon,228,0.00026500750273434275
2671,pamikasala,228,0.00026500750273434275
1739,ikua,226,0.00026268287551737483
1056,jordan,226,0.00026268287551737483
3145,bitasang,226,0.00026268287551737483
1582,tanggapan,224,0.0002603582483004069
3589,dangalan,222,0.00025803362108343903
15300,juan,221,0.00025687130747495504
621,ustu,220,0.0002557089938664711
1294,aduan,219,0.0002545466802579871
3516,tuntunan,219,0.0002545466802579871
2718,biasa,219,0.0002545466802579871
1020,palasyu,219,0.0002545466802579871
3453,kasiran,218,0.0002533843666495032
15883,pedro,218,0.0002533843666495032
3224,sakripisyu,218,0.0002533843666495032
1600,dutung,215,0.00024989742582405127
4042,kasulatan,215,0.00024989742582405127
1613,munie,215,0.00024989742582405127
2037,karetang,215,0.00024989742582405127
384,magbalik,214,0.00024873511221556733
18520,oscar,214,0.00024873511221556733
1032,mako,213,0.0002475727986070834
1704,saupan,212,0.0002464104849985994
2459,miyain,211,0.00024524817139011547
28,sala,210,0.00024408585778163148
1318,keni,208,0.00024176123056466358
1000,pepakit,207,0.00024059891695617962
1269,tuparan,207,0.00024059891695617962
2214,kekaming,207,0.00024059891695617962
489,manakit,206,0.00023943660334769566
390,ginawa,205,0.0002382742897392117
302,ni,205,0.0002382742897392117
674,linub,204,0.00023711197613072773
2220,kikilalanan,204,0.00023711197613072773
3901,miyabie,204,0.00023711197613072773
248,bunga,203,0.00023594966252224377
271,laman,203,0.00023594966252224377
22,angin,203,0.00023594966252224377
1503,ming,203,0.00023594966252224377
591,paintulut,202,0.0002347873489137598
3724,kaban,202,0.0002347873489137598
1797,kaming,201,0.00023362503530527585
444,meng,201,0.00023362503530527585
593,mie,201,0.00023362503530527585
2422,espada,201,0.00023362503530527585
670,tuknang,201,0.00023362503530527585
1023,kambing,201,0.00023362503530527585
113,ikayung,200,0.0002324627216967919
530,kayanakan,199,0.00023130040808830795
1596,iyain,198,0.000230138094479824
1597,durulukan,198,0.000230138094479824
745,linual,197,0.00022897578087134002
436,lupa,196,0.00022781346726285606
316,nia,195,0.0002266511536543721
276,sangkan,195,0.0002266511536543721
2641,katamu,195,0.0002266511536543721
1435,bundukan,194,0.00022548884004588814
3458,mag,194,0.00022548884004588814
3218,tinubud,193,0.00022432652643740417
5423,bayung,192,0.0002231642128289202
1231,pota,192,0.0002231642128289202
807,linapit,192,0.0002231642128289202
2869,lunus,192,0.0002231642128289202
102,ayup,191,0.00022200189922043628
1984,akilala,191,0.00022200189922043628
1495,manalangin,190,0.0002208395856119523
336,waring,190,0.0002208395856119523
691,lalung,189,0.00021967727200346835
277,lakuan,189,0.00021967727200346835
616,atlu,189,0.00021967727200346835
2928,kaburian,189,0.00021967727200346835
3020,kabayu,188,0.0002185149583949844
524,gawa,188,0.0002185149583949844
5752,ikong,186,0.00021619033117801646
2325,yeng,186,0.00021619033117801646
1035,norti,185,0.0002150280175695325
1255,kayang,185,0.0002150280175695325
1899,katuliran,185,0.0002150280175695325
983,kamaganak,185,0.0002150280175695325
2302,kampu,183,0.00021270339035256458
1443,miligtas,183,0.00021270339035256458
6047,ligaya,182,0.00021154107674408064
756,gagawan,181,0.00021037876313559668
41,abak,181,0.00021037876313559668
1263,mamintu,181,0.00021037876313559668
1369,mapalyari,181,0.00021037876313559668
9531,simon,181,0.00021037876313559668
1474,moab,181,0.00021037876313559668
244,subali,180,0.00020921644952711272
368,sakit,179,0.00020805413591862875
821,ri,179,0.00020805413591862875
3069,kayupayan,179,0.00020805413591862875
1553,buring,177,0.00020572950870166083
1996,labis,177,0.00020572950870166083
4672,pamag,177,0.00020572950870166083
7612,baket,176,0.00020456719509317686
237,ingatan,176,0.00020456719509317686
3803,angganan,176,0.00020456719509317686
1244,mabagsik,175,0.0002034048814846929
499,menuknangan,175,0.0002034048814846929
1781,katungkulan,174,0.00020224256787620894
2016,milako,174,0.00020224256787620894
491,makamate,174,0.00020224256787620894
333,tatakut,173,0.000201080254267725
3252,levita,173,0.000201080254267725
225,batung,172,0.00019991794065924104
1042,magobra,171,0.00019875562705075708
3970,olibo,170,0.00019759331344227312
2313,katapatan,170,0.00019759331344227312
1777,pamintuan,170,0.00019759331344227312
4124,mismung,169,0.00019643099983378915
311,kanan,168,0.0001952686862253052
1658,gamitan,168,0.0001952686862253052
1696,pung,168,0.0001952686862253052
2465,benjamin,168,0.0001952686862253052
1090,reting,167,0.00019410637261682123
1024,asno,167,0.00019410637261682123
525,kasangkapan,167,0.00019410637261682123
1305,makatalakad,167,0.00019410637261682123
2230,balamu,167,0.00019410637261682123
3113,reng,167,0.00019410637261682123
1022,kabilian,166,0.00019294405900833727
2148,muli,166,0.00019294405900833727
1008,mauli,165,0.0001917817453998533
1594,pakamalan,164,0.00019061943179136937
425,pangane,164,0.00019061943179136937
634,talampakan,164,0.00019061943179136937
2564,panintunan,164,0.00019061943179136937
1381,tinalakad,163,0.0001894571181828854
2333,peparala,163,0.0001894571181828854
134,heganaganang,163,0.0001894571181828854
95,binili,163,0.0001894571181828854
3241,maniwala,163,0.0001894571181828854
2322,toro,162,0.00018829480457440144
1247,kinutang,162,0.00018829480457440144
1413,ilako,162,0.00018829480457440144
2468,kutkutan,161,0.00018713249096591748
780,pangaku,161,0.00018713249096591748
3717,sabbath,161,0.00018713249096591748
3382,depatan,161,0.00018713249096591748
604,isip,161,0.00018713249096591748
5659,kuta,160,0.00018597017735743352
597,reti,160,0.00018597017735743352
1191,tanggap,160,0.00018597017735743352
7536,samuel,160,0.00018597017735743352
2693,obra,159,0.00018480786374894956
1701,nanuman,159,0.00018480786374894956
2737,binutil,159,0.00018480786374894956
771,pakibatan,158,0.0001836455501404656
2820,aintindian,158,0.0001836455501404656
18484,qng,158,0.0001836455501404656
1164,tagumpe,158,0.0001836455501404656
43,mumunang,158,0.0001836455501404656
1888,toldang,158,0.0001836455501404656
1736,bisa,158,0.0001836455501404656
138,bendisyunan,157,0.00018248323653198163
1009,danup,157,0.00018248323653198163
2,lelangan,157,0.00018248323653198163
8896,eliseo,156,0.00018132092292349767
2009,mangaintulid,156,0.00018132092292349767
555,mibait,155,0.00018015860931501373
1692,ibili,155,0.00018015860931501373
1309,makamal,155,0.00018015860931501373
2423,lihim,155,0.00018015860931501373
2745,mitubud,155,0.00018015860931501373
570,apulu,154,0.00017899629570652977
2591,biserung,154,0.00017899629570652977
963,milabas,154,0.00017899629570652977
2057,agyamang,154,0.00017899629570652977
1233,banuang,154,0.00017899629570652977
3064,leon,153,0.0001778339820980458
2434,lusuban,153,0.0001778339820980458
8001,joab,153,0.0001778339820980458
4426,keyang,153,0.0001778339820980458
1060,menatili,153,0.0001778339820980458
243,isanu,152,0.00017667166848956185
394,oyni,152,0.00017667166848956185
1015,masalese,152,0.00017667166848956185
1719,kaluguran,152,0.00017667166848956185
2301,tubud,152,0.00017667166848956185
1698,tuki,151,0.00017550935488107788
1003,albugan,151,0.00017550935488107788
984,pibalebale,151,0.00017550935488107788
7268,siria,151,0.00017550935488107788
3641,kapurian,151,0.00017550935488107788
232,asiria,150,0.00017434704127259392
56,mitipun,150,0.00017434704127259392
1237,panginuan,150,0.00017434704127259392
417,saup,150,0.00017434704127259392
3260,kakalinguan,150,0.00017434704127259392
1136,makilaban,150,0.00017434704127259392
3630,linigtas,149,0.00017318472766410996
5116,layun,149,0.00017318472766410996
803,lual,148,0.000172022414055626
205,beluan,148,0.000172022414055626
743,mong,148,0.000172022414055626
666,antimu,148,0.000172022414055626
2866,salapi,147,0.00017086010044714203
1344,matua,147,0.00017086010044714203
260,nanung,147,0.00017086010044714203
651,magdala,147,0.00017086010044714203
1776,parati,147,0.00017086010044714203
16488,juana,147,0.00017086010044714203
140,mamahala,146,0.0001696977868386581
256,karapatdapat,146,0.0001696977868386581
151,mabibie,146,0.0001696977868386581
1358,ituru,146,0.0001696977868386581
1352,mitakutan,146,0.0001696977868386581
1676,kabalen,146,0.0001696977868386581
1053,wanan,145,0.00016853547323017413
2232,gera,145,0.00016853547323017413
1095,mig,145,0.00016853547323017413
195,mibili,145,0.00016853547323017413
434,mimua,144,0.00016737315962169017
1291,isaac,144,0.00016737315962169017
3471,tronu,144,0.00016737315962169017
1868,panalangin,144,0.00016737315962169017
86,sulu,144,0.00016737315962169017
1058,silaban,144,0.00016737315962169017
1005,menalangin,143,0.0001662108460132062
787,biga,143,0.0001662108460132062
653,paintulutan,142,0.00016504853240472225
10568,makasalanan,141,0.00016388621879623828
15841,jesu,141,0.00016388621879623828
1660,asabi,141,0.00016388621879623828
669,uran,141,0.00016388621879623828
1540,inuman,140,0.00016272390518775432
247,mamangan,139,0.00016156159157927036
1301,labi,139,0.00016156159157927036
601,pikabaluan,139,0.00016156159157927036
2800,gobernador,138,0.0001603992779707864
1559,marangal,138,0.0001603992779707864
572,mibiebie,137,0.00015923696436230246
929,amanung,137,0.00015923696436230246
429,diling,137,0.00015923696436230246
3032,matula,137,0.00015923696436230246
2870,makasadia,136,0.0001580746507538185
7791,marawak,136,0.0001580746507538185
2785,manase,136,0.0001580746507538185
3956,kalulu,136,0.0001580746507538185
1452,menakit,135,0.00015691233714533454
3824,larawan,135,0.00015691233714533454
2420,masakit,135,0.00015691233714533454
600,minunang,135,0.00015691233714533454
20,tutung,135,0.00015691233714533454
2226,gilead,135,0.00015691233714533454
2602,guardia,135,0.00015691233714533454
4078,insenso,134,0.00015575002353685057
6438,kapanayan,134,0.00015575002353685057
4075,larung,134,0.00015575002353685057
1558,talakad,134,0.00015575002353685057
3166,megawa,134,0.00015575002353685057
3506,piesta,134,0.00015575002353685057
779,ini,134,0.00015575002353685057
618,mitmu,134,0.00015575002353685057
1747,gintung,134,0.00015575002353685057
612,makatuliran,133,0.0001545877099283666
16049,iglesia,133,0.0001545877099283666
8158,zion,133,0.0001545877099283666
1903,kabilugan,133,0.0001545877099283666
5722,kaguluan,133,0.0001545877099283666
982,apu,132,0.00015342539631988265
55,kaduang,132,0.00015342539631988265
8854,elias,131,0.00015226308271139869
10114,mordecai,131,0.00015226308271139869
1099,simbut,131,0.00015226308271139869
1731,galang,131,0.00015226308271139869
3465,ganap,130,0.00015110076910291472
1872,pakibat,130,0.00015110076910291472
3742,lisuban,130,0.00015110076910291472
2448,susulud,130,0.00015110076910291472
681,kalabing,130,0.00015110076910291472
1380,minuli,130,0.00015110076910291472
526,tangsu,130,0.00015110076910291472
1721,maniawad,129,0.00014993845549443076
433,darala,129,0.00014993845549443076
1045,miyabe,129,0.00014993845549443076
196,mulahan,129,0.00014993845549443076
971,minuna,129,0.00014993845549443076
334,kitang,128,0.00014877614188594683
1038,sese,128,0.00014877614188594683
1898,edom,128,0.00014877614188594683
1468,kabukasan,127,0.00014761382827746286
556,mebie,127,0.00014761382827746286
1450,asias,126,0.0001464515146689789
2833,salu,126,0.0001464515146689789
798,minum,126,0.0001464515146689789
392,balat,126,0.0001464515146689789
18505,cang,125,0.00014528920106049494
1753,keta,125,0.00014528920106049494
2205,ngang,125,0.00014528920106049494
80,tanda,124,0.00014412688745201098
439,tumula,124,0.00014412688745201098
1726,magdalang,123,0.000142964573843527
251,mengan,122,0.00014180226023504305
176,dikut,122,0.00014180226023504305
46,pilatan,122,0.00014180226023504305
2674,tinakas,122,0.00014180226023504305
1302,makalukluk,122,0.00014180226023504305
557,walung,121,0.0001406399466265591
1370,ukum,121,0.0001406399466265591
1151,pamakilaban,121,0.0001406399466265591
